Country Region,EC financing,Title,Action location,Organisation,Total cost in Euro,Contract Nr,Theme,DAC code,Duration,Organisation nationality,Amount in Euro
Germany,"
						
						    80 %
					",Economic Development for IDPs in Georgia,"Georgia, Shida Kartli region",WORLD VISION DEUTSCHLAND E.V.,"
						      768,752
					",236744,Agricultural development,31120,24 months,Georgia,"
						      615,002
					"
Germany,"
						
						    80 %
					",Efficiency in Farming and Energy Consumption - Consolidating the watershed approach in Baljuvon,"Baljuvon district, Tajikistan",DEUTSCHE WELTHUNGERHILFE EV,"
						      893,685
					",241979,Rural development,43040,36 months,Tajikistan,"
						      714,685
					"
Germany,"
						
						    80 %
					",Empowering leadership of poor indegenous and indian women through legal education and advocacy training,"In the states of Kedah, Penang, Perak, Selangor, Kuala Lumpur, Johor and Pahang.",FRIEDRICH-NAUMANN-STIFTUNG FUR DIEFREIHEIT,"
						       62,445
					",225791,Human rights,15160,12 months,Malaysia,"
						       49,956
					"
Germany,"
						
						    79 %
					",Empowering the vulnerable : strengthening grassroots governance and promotin civil society action in conflict affected areas of Kashmir,"India, Jammu and Kashmir, 50 villages in 3 administrative Blocks of Baramulla and Bandipora Districts",DEUTSCHE WELTHUNGERHILFE EV,"
						      314,600
					",232181,Human rights,15160,36 months,India,"
						      250,000
					"
Germany,"
						
						    80 %
					",Empowerment of Egypt's Children to take action in schools and communities ,"EGYPT, Focus on Upper Egypt, Governorates: Minia and Beni Suef. ",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      911,919
					",258392,Early childhood education,11240,36 months,Egypt,"
						      729,536
					"
Germany,"
						
						    70 %
					",Enforcing democratic structures and the rule of low in irrigation management ,"Tajikistan, Soghd Province, Pendjikent district",DEUTSCHE WELTHUNGERHILFE EV,"
						      343,647
					",247401,Human rights,15160,19 months,Tajikistan,"
						      239,797
					"
Germany,"
						
						   100 %
					",Enhancing performance of InvestUkraine: the Ukrainian Centre for Foreign Investment Promotion in line with the best European practices ,"Ukraine, Kiev and Regions",INTERNATIONALE WEITERBILDUNG UND ENTWICKLUNG GEMEINNUTZIGE GMBH,"
						     1,400,000
					",234583,Multisector aid,43010,27 months,Ukraine,"
						     1,400,000
					"
Germany,"
						
						    66 %
					","Enhancing the economics for ecosystem services in South-East Asia: Instruments
for biodiversity conservation through payment mechanisms for ecosystem services in designated areas in Thailand as a model for South-East Asian countries",Selected protected areas in Thailand (3) and Laos PDR (2),DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH,"
						     2,034,000
					",220819,Bio-diversity,41030,48 months,Thailand,"
						     1,335,000
					"
Germany,"
						
						    80 %
					",Euromed audiovisuel III- Moving pages - from novels to screen,"Lebanon
Egypt
Jordan",SCRIPT HOUSE GMBH & CO KG,"
						      707,505
					",259546,Culture and recreation,16061,36 months,Mediterranean Region,"
						      564,660
					"
Germany,"
						
						    77 %
					",European Street Football Festival 2011,"Belgrade, Serbia",STREETFOOTBALLWORLD GGMBH,"
						      259,529
					",248478,Communications policy and administrative management,22010,10 months,EU Europe ,"
						      200,000
					"
Germany,"
						
						    95 %
					","Expansion of  ACTION 220048 : Repatriation, VET and reintegration for 1.600 Afghan minors and destitute families from Iran; increase to 2.200 bens and more services for EVIs",Herat-Afghanistan,HELP - HILFE ZUR SELBSTHILFE EV,"
						      700,749
					",258835,Vocational training,11330,12 months,Afghanistan,"
						      665,502
					"
Germany,"
						
						    75 %
					","Facing Finance ¿ a close inspection on investments
in human rights violations","Germany, Poland",SOLIDARITATSDIENST INTERNATIONAL EV(SODI),"
						     1,163,950
					",239564,Promotion of development awareness,99820,36 months,EU Europe ,"
						      872,961
					"
Germany,"
						
						    88 %
					",Food Security & Livelihoods Support of War & Drought Affected Populations in the Red Sea State,"Sudan, Eastern Region, Red Sea State,                Rural Port Sudan/ Awleeb & Ogneeb, Sinkat & Tokar South Localities",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,250,000
					",251937,Food aid/Food security programmes,52010,36 months,Sudan,"
						     1,100,000
					"
Germany,"
						
						    75 %
					",Fortalecimiento de las Organizaciones de Sociedad Civil en Paraguay para la Lucha contra la Corrupción,Paraguay,TRANSPARENCY INTERNATIONAL EV,"
						      200,000
					",257539,Democratic participation and civil society,15150,24 months,Paraguay,"
						      150,000
					"
Germany,"
						
						    85 %
					",Fortalecimiento del proceso organizativo de las mujeres en los cantones fronterizos de la Provincia de Sucumbíos-Ecuador para el respeto de los Derechos Humanos y una vida libre de violencia.,Ecuador-Sucumbíos-Frontera Norte con Colombia,JOHANNITER-UNFALL-HILFE EV,"
						      353,068
					",240179,Human rights,15160,24 months,Ecuador,"
						      300,000
					"
Germany,"
						
						    76 %
					",GATEway - Inventory of Assessment Tools on Corruption and Integrity at Country Level  ,Brussels,TRANSPARENCY INTERNATIONAL EV,"
						      198,060
					",246814,Administrative costs,91010,12 months,General / enveloppe administrative / intérêts,"
						      149,554
					"
Germany,"
						
						    95 %
					","GHANA -Promoting Democratic Citizenship to enhance election peace, transparency and credibility in Ghana","15 districts selected across the 170 districts within the 10 regions in Ghana; Northern, Upper West, Upper East, Brong Ahafo, Ashanti, Eastern, Volta, Central, Western and the Greater Accra regions   ",FRIEDRICH-NAUMANN-STIFTUNG FUR DIEFREIHEIT,"
						      312,807
					",234685,Elections,15151,36 months,Ghana,"
						      297,104
					"
Germany,"
						
						    67 %
					",GIRS Municipal: Gestión Integral de residuos Sólidos en 5 Municipios del oriente y Sur del Ecuador.,"La región amazónica ¿ Municipio Pastaza, Municipio Catamayo, Municipio Yantzaza, Municipio Morona, Municipio El Chaco",SWISSCONTACT GERMANY GGMBH,"
						      899,410
					",253470,Waste management/disposal,14050,36 months,Ecuador,"
						      600,000
					"
Germany,"
						
						    75 %
					",GOVERNANÇA DE RECURSOS FLORESTAIS POR PEQUENOS PRODUTORES RURAIS DA AMAZÔNIA,"Brasil, Estado do Pará, Municipios de Porto de Moz e Medicilândia",ALBERT-LUDWIGS UNIVERSITAT FREIBURG,"
						     1,274,161
					",208221,Rural development,43040,48 months,Brazil,"
						      953,801
					"
Germany,"
						
						    80 %
					",Gestión sostenible para la conservación de dos reservas de biósfera en la Cuenca Amazónica (Perú y Ecuador) mediante la reducción de Emisiones de CO2 por Deforestación y Degradación de Bosques (REDD+),Perú (regiones Cuzco y Madre de Dios) y                                                  Ecuador (provincia de Orellana) ,DEUTSCHE WELTHUNGERHILFE EV,"
						     2,692,740
					",222714,Environmental policy and administrative management,41010,54 months,Latin America Countries,"
						     2,154,192
					"
Germany,"
						
						    75 %
					","Global Ageing: A Challenge to Development. Mobilise public awareness in Germany (G), The Netherlands (N), Lithuania (L) and Poland (P) for the consequences of global ageing on development","Germany, The Netherlands, Lithuania, Poland",HELPAGE DEUTSCHLAND EV,"
						      812,100
					",239297,Promotion of development awareness,99820,36 months,EU Europe ,"
						      609,075
					"
Germany,"
						
						   100 %
					",Health through Improved Access to WASH on Nissan Island (ARB),"Nissan Island, Bougainville, Papua New Guinea,",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      853,338
					",231968,Basic drinking water supply and basic sanitation,14030,20 months,Papua New Guinea,"
						      853,338
					"
Germany,"
						
						    80 %
					",INCREASING THE RESILIENCE OF FOREST ECOSYSTEMS AGAINST CLIMATE CHANGE IN THE SOUTH CAUCASUS COUNTRIES THROUGH FOREST TRANSFORMATION,"Georgia, Armenia, Azerbaijan",WWF DEUTSCHLAND STIFTUNG,"
						     1,838,913
					",221391,Forestry policy and administrative management,31210,36 months,Georgia,"
						     1,468,256
					"
Germany,"
						
						    75 %
					","IWM FOR POVERTY REDUCTION AND SUSTAINABLE DEVELOPMENT AMONGST MARGINALISED COMMUNITIES IN BUNDELKHAND (MP), BIHAR AND JHARKHAND","India, States of Madhya Pradesh, Bihar, Jharkhand",DEUTSCHE WELTHUNGERHILFE EV,"
						      868,000
					",249180,Water resources protection,14015,48 months,India,"
						      651,000
					"
Germany,"
						
						    73 %
					",Implementation of new concepts for wet peatland management for the sustainable production of biomass-based energy (wetland-energy),"Belarus, peatland reach rural areas: Dokudovskoe peatland, Lida district; Sporava peatlands, Beriosa district",MICHAEL SUCCOW STIFTUNG ZUM SCHUTZDER NATUR,"
						     1,686,030
					",220473,Biomass,23070,30 months,All Countries,"
						     1,235,860
					"
Germany,"
						
						   100 %
					",Improved Livelihoods and market support in the communal lands of Zimbabwe,Zimbabwe,HELP - HILFE ZUR SELBSTHILFE EV,"
						     8,000,000
					",245849,Food aid/Food security programmes,52010,12 months,Zimbabwe,"
						     8,000,000
					"
Germany,"
						
						    80 %
					",Improved access to and utilisation of primary health care services and WASH facilities for uprooted people in Northern Rakhine State,Myanmar - Northern Rakhine State,MALTESER HILFSDIENST EV,"
						     1,750,000
					",257948,Basic health care,12220,36 months,Myanmar,"
						     1,400,000
					"
Germany,"
						
						    75 %
					",Improvement of Access to Justice for Civilians in the Deep South Provinces in Thailand,"Four Deep-south Provinces: Pattani, Yala, Narathiwas and Songkhla, Thailand",KONRAD-ADENAUER-STIFTUNG EV,"
						      816,210
					",256888,Human rights,15160,24 months,Thailand,"
						      612,157
					"
Germany,"
						
						    75 %
					",Improving Maternal and Newborn Health through Public-Private Partnership,"Bangladesh, Dhaka Division, Netrokona District, Atpara Upazila",KINDERNOTHILFE EV,"
						      433,857
					",208367,Health education,12261,36 months,Bangladesh,"
						      325,392
					"
Germany,"
						
						    75 %
					",Institutionalizing Democracy in Somaliland: Strengthening Civil Society for Effective Democratic Participation,"Somaliland ¿ Hargeisa, other regions of Somaliland and Diaspora ",HEINRICH BOLL STIFTUNG EV,"
						      300,000
					",243748,Human rights,15160,36 months,Somalia,"
						      225,000
					"
Germany,"
						
						    75 %
					",Klima statt Armut ¿ Bildungs- und Aktionsprogramm für Klimagerechtigkeit,"Germany, Austria, Poland, Bulgaria, Finland, France, Belgium, Netherlands",KATE - KONTAKTSTELLE FUR UMWELT UNDENTWICKLUNG E.V.,"
						      863,684
					",239613,Promotion of development awareness,99820,36 months,EU Europe ,"
						      647,763
					"
Germany,"
						
						    69 %
					",Literature in Flux ,"Serbia, Croatia, Albania, Turkey",HALMA - DAS EUROPAISCHE NETZWERK LITERARISCHER ZENTREN EV,"
						      400,000
					",255920,Democratic participation and civil society,15150,15 months,Region IPA instrument,"
						      275,000
					"
Germany,"
						
						    80 %
					",Modernizing Construction: Capacitating East African IOs in the Construction Value Chain,"Ethiopia, Kenya, Uganda, Germany, Belgium, Austria",LANDES-GEWERBEFORDERUNGSSTELLE DESNORDRHEIN-WESTFALISCHEN HANDWERKS EV,"
						     1,445,190
					",232728,Business support services and institutions,25010,18 months,All Countries,"
						     1,156,152
					"
Germany,"
						
						    67 %
					",Music without borders ,"the former Yugoslav Republic of Macedonia, Croatia, Serbia
",KULTUR AKTIV EV,"
						      399,727
					",255905,Democratic participation and civil society,15150,23 months,Region IPA instrument,"
						      266,677
					"
Germany,"
						
						    75 %
					","Networking in Europe: Local Governments meet the MDGs
",Networking in Europe,STADT BONN,"
						      511,340
					",234498,Decentralisation and support to subnational government,15112,36 months,EU Europe ,"
						      383,505
					"
Germany,"
						
						    81 %
					",Opportunities and challenges of public participation and cooperation,"Bosnia and Herzegovina, 
Civil society organizations and local and regional self-government",BALTIC ENVIRONMENTAL FORUM DEUTSCHLAND EV,"
						      123,452
					",257513,Environmental policy and administrative management,41010,24 months,Bosnia and Herzegovina,"
						      100,000
					"
Germany,"
						
						    79 %
					",POVERTY ALLEVIATION THROUGH IMPROVED BIODIVERSITY CONSERVATION IN VIRACHEY NATIONAL PARK,"Stung Treng Province (Siem Pang District) and Ratanakiri Province (Taveng and Ven Say Districts), Kingdom of Cambodia ",DEUTSCHE WELTHUNGERHILFE EV,"
						      906,911
					",220587,Bio-diversity,41030,60 months,Cambodia ,"
						      713,000
					"
Germany,"
						
						    87 %
					",Partnership for higher environmental standards in BiH ,"Location: Sarajevo, Zenica, Kakanj, Banja Luka/Manjača
Target groups: 10 civil society organisations, four municipalities from BiH, 15 state officials/decision makers, ten lawyers dealing with environmental rights, ten local and national journalists in BiH; ten private sector and industry representatives 
",HEINRICH BOLL STIFTUNG EV,"
						      115,000
					",257633,Environmental policy and administrative management,41010,24 months,Bosnia and Herzegovina,"
						      100,000
					"
Germany,"
						
						   100 %
					",Policy advice to Georgia's State Ministry for Reintegration regarding the Action Plan for the ''State Strategy on the Occupied Territories: Engagement for Cooperation'',Georgia,EUROPEAN FORUM FOR INTERNATIONAL MEDIATION AND DIALOGUE EV,"
						      228,639
					",238832,"Civilian peace-building, conflict prevention and resolution",15220,18 months,Georgia,"
						      228,639
					"
Germany,"
						
						    80 %
					",Pour un accès et un maintien dans l¿emploi des personnes sourdes et/ ou malentendantes en Afrique de l¿Ouest,"Burkina Faso (régions Centre et Centre-Est) ; 
Niger (régions de Niamey, Maradi et Dosso) ; 
Togo (région des Savanes, Lomé Commune) 
",CHRISTOFFEL-BLINDENMISSION DEUTSCHLAND EV,"
						     2,452,280
					",254350,Vocational training,11330,36 months,All Countries,"
						     1,961,823
					"
Germany,"
						
						    75 %
					","Poverty reduction and improved health, water and sanitation conditions through self-help initiatives in disadvantanged communes ","6 communes in 3 districts of Oddar Meanchey (OMC) Province in northern Cambodia, namely Banteay Ampil, Chongkal and Samrong and the Thmar Pouk district in the neighbouring province Banteay Meanchey (BMC).",MALTESER HILFSDIENST EV,"
						      586,000
					",241673,,14032,36 months,Cambodia ,"
						      439,500
					"
Germany,"
						
						    95 %
					",Productive Asset Recovery and Local Institutions Strengthening Project (PARIS),"Southern Sudan, Warrap State, Gogrial East County",TIERARZTE OHNE GRENZEN,"
						     3,167,055
					",233805,Food aid/Food security programmes,52010,36 months,Sudan,"
						     3,000,000
					"
Germany,"
						
						    90 %
					",Programa Desminagem - Kuando Kubango,Kuando Kubango,STIFTUNG MENSCHEN GEGEN MINEN EV,"
						     2,222,222
					",249253,Reconstruction relief and rehabilitation,73010,24 months,Angola,"
						     2,000,000
					"
Germany,"
						
						   100 %
					",Programme of technical assistance for the Central Bank of Bosnia and Herzegovina,"Sarajevo, Bosnia andHerzegovina. Central bank of Bosnia and Herzegovina",EUROPEAN CENTRAL BANK,"
						     1,000,000
					",233750,Monetary institutions,24020,18 months,Bosnia and Herzegovina,"
						     1,000,000
					"
Germany,"
						
						   100 %
					",Projet d¿appui à la relance des activités de conservation et de valorisation du Parc National de l¿Upemba,"Parc National de l¿Upemba, Katanga",ZOOLOGISCHE GESELLSCHAFT FRANKFURTVON 1858,"
						     2,530,000
					",234946,Bio-diversity,41030,30 months,Congo (Democratic Republic of the),"
						     2,530,000
					"
Germany,"
						
						    90 %
					",Promoting qualified interaction between civil society and members of the National Assembly in Viet Nam ,"Action location: Ha Noi and provinces, Viet Nam
Beneficiaries: selected members of the National Assembly and members of civil society in Viet Nam.  ",KONRAD-ADENAUER-STIFTUNG EV,"
						      333,333
					",244981,Democratic participation and civil society,15150,24 months,Vietnam,"
						      300,000
					"
Germany,"
						
						    70 %
					",Promotion of German CCT and CCS technologies to the Russian Federation,Moscow,TUTECH INNOVATION GMBH,"
						      670,000
					",253567,Environmental policy and administrative management,41010,15 months,Russia ,"
						      469,000
					"
Germany,"
						
						    80 %
					",REGSA - ''Promoting Renewable Electricity Generation in South America'' ,"BOLIVIA, BRAZIL, CHILE",HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN HAMBURG,"
						     1,835,050
					",249978,Power generation/renewable sources ,23030,48 months,Latin America Countries,"
						     1,468,040
					"
Germany,"
						
						    75 %
					",REPORTING FOR DEMOCRACY,,DEUTSCHE WELLE,"
						      249,417
					",239556,Human rights,15160,18 months,Rwanda,"
						      187,062
					"
Germany,"
						
						    79 %
					",RESPECT: Comics for Tolerance,"Moscow, Ekaterinburg + 10 RF cities
Target groups: Organizers and curators of comic-festivals, publishers of comic-magazines and comic-books in Russia as well as in partner countries (professionalization, networking, institutional support), comic artists (active exchange of skills and knowledge, strengthening of cultural mobility of the artists). Human rights organizations, youth organizations, general audience.",GOETHE-INSTITUT EV,"
						      330,000
					",244914,Culture and recreation,16061,18 months,Russia ,"
						      260,000
					"
Germany,"
						
						    76 %
					",Reconstruction of small infrastructure in support to sustainable return (Kotor Varos Houses Reconstruction),"Bosnia and Herzegovina
Kotor Varos",ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						      660,000
					",241288,Reconstruction relief and rehabilitation,73010,12 months,Bosnia and Herzegovina,"
						      500,000
					"
Germany,"
						
						    90 %
					",Regional Economic Development in Eastern Kosovo Region (Project RED),Kosovo,CARE DEUTSCHLAND-LUXEMBURG EV,"
						      483,820
					",253641,Business support services and institutions,25010,15 months,Kosovo (under UNSCR 1244/99),"
						      435,438
					"
Germany,"
						
						    75 %
					",Resourcing Youth Futures in Hajjah Governorate,"Hajja Governorate, Republic of Yemen",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      666,217
					",242857,Basic life skills for youth and adults ,11230,36 months,Yemen,"
						      499,663
					"
Germany,"
						
						    63 %
					","Return to Democracy! Strengthening journalism capacities, improving governmental cooperation and advocating free media in Moldova","Moldova: Chisinau, Cahul, Balti",KONRAD-ADENAUER-STIFTUNG EV,"
						      236,561
					",225694,Human rights,15160,24 months,Moldova,"
						      150,000
					"
